No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Bill Gates,$60.0 billion,44,United States,Microsoft
2,Larry Ellison,$47.0 billion,55,United States,Oracle Corporation
3,Paul Allen,$28.0 billion,47,United States,Microsoft
4,Warren Buffett,$25.6 billion,69,United States,Berkshire Hathaway
5,Karl,$20.0 billion,80,Germany,Aldi
6,Al-Waleed bin Talal,$20.0 billion,43,Saudi Arabia,Kingdom Holding Company
7,S. Robson Walton,$20.0 billion,57,United States,Wal-Mart
8,Masayoshi Son,$19.4 billion,43,Japan,Softbank Capital
9,Michael Dell,$19.1 billion,35,United States,Dell
10,Kenneth Thomson,$16.1 billion,77,Canada,The Thomson Corporation
